method,family,dof,degree,constraint_order,eval_point,estimate,truth,abs_error,strain_energy,elapsed_ms,empirical_rate
hermite_cubic,hermite_cubic,4,,,1.5,1.3392857142857144,1.329340388179137,0.00994532610657739,1.7142857142857144,0.655125000001533,
hermite_quintic,hermite_quintic,6,,,1.5,1.329939500904875,1.329340388179137,0.0005991127257378714,1.8258064516039667,8.383958999999663,
chebyshev,chebyshev,5,4,2,1.5,1.3069134076955728,1.329340388179137,0.022426980483564174,2.100559571886177,0.677290999998803,
chebyshev,chebyshev,7,6,4,1.5,1.308104447595257,1.329340388179137,0.02123594058388001,1.995672850318494,0.6829999999986569,0.16218177062611525
chebyshev,chebyshev,9,8,6,1.5,1.314082559315974,1.329340388179137,0.01525782886316307,1.920318790370018,0.687458999998114,1.3154927859954684
chebyshev,chebyshev,11,10,6,1.5,1.331516487178741,1.329340388179137,0.002176098999604026,1.826699725926928,0.8532080000023257,9.705248246714605
chebyshev,chebyshev,13,12,6,1.5,1.3338994032100306,1.329340388179137,0.004559015030893621,1.7843068727736753,0.8441250000004175,-4.427145709058048
chebyshev,chebyshev,17,16,6,1.5,1.336658468487592,1.329340388179137,0.007318080308454933,1.7518083147459171,1.1582499999995832,-1.764088607067185
chebyshev,chebyshev,21,20,6,1.5,1.3376954478752126,1.329340388179137,0.008355059696075529,1.744926669859769,2.0127919999985977,-0.6271347060299134
chebyshev,chebyshev,25,24,6,1.5,1.3381919034274556,1.329340388179137,0.00885151524831862,1.7561696010224503,2.1066249999996955,-0.3310595385315795
