left_derivative,right_derivative,strain_energy
-1.0,-0.3862943611198906,34.777603111650365
-0.98,-0.3585684738974928,33.824295506340945
-0.96,-0.3308425866750948,32.88477384156511
-0.94,-0.30311669945269704,31.959038117322905
-0.92,-0.2753908122302995,31.04708833361468
-0.9,-0.2476649250079015,30.148924490439754
-0.88,-0.21993903778550372,29.264546587799373
-0.86,-0.19221315056310595,28.39395462569189
-0.84,-0.16448726334070796,27.5371486041185
-0.8200000000000001,-0.1367613761183104,26.694128523078973
-0.8,-0.10903548889591241,25.86489438257297
-0.78,-0.08130960167351464,25.049446182600832
-0.76,-0.05358371445111687,24.24778392316233
-0.74,-0.0258578272287191,23.459907604257637
-0.72,0.0018680599936787834,22.68581722588675
-0.7,0.029593947216076666,21.92551278804939
-0.6799999999999999,0.05731983443847455,21.178994290745948
-0.6599999999999999,0.08504572166087232,20.44626173397603
-0.64,0.11277160888326998,19.727315117740034
-0.62,0.14049749610566786,19.022154442037845
-0.6,0.16822338332806563,18.330779706869237
-0.5800000000000001,0.1959492705504634,17.653190912234464
-0.56,0.22367515777286118,16.989388058133443
-0.54,0.25140104499525906,16.33937114456603
-0.52,0.27912693221765683,15.703140171532368
-0.5,0.3068528194400547,15.0806951390326
-0.48,0.3345787066624526,14.47203604706641
-0.45999999999999996,0.36230459388485037,13.877162895634001
-0.43999999999999995,0.39003048110724825,13.296075684735342
-0.42000000000000004,0.4177563683296459,12.728774414370406
-0.4,0.4454822555520438,12.17525908453922
-0.38,0.47320814277444156,11.6355296952417
-0.36,0.5009340299968394,11.109586246477988
-0.33999999999999997,0.5286599172192372,10.597428738248084
-0.31999999999999995,0.5563858044416351,10.099057170551788
-0.29999999999999993,0.584111691664033,9.614471543389215
-0.28,0.6118375788864305,9.14367185676052
-0.26,0.6395634661088284,8.68665811066549
-0.24,0.6672893533312263,8.243430305104198
-0.21999999999999997,0.6950152405536241,7.813988440076585
-0.19999999999999996,0.722741127776022,7.39833251558278
-0.17999999999999994,0.7504670149984198,6.996462531622669
-0.16000000000000003,0.7781929022208175,6.608378488196337
-0.14,0.8059187894432153,6.234080385303713
-0.12,0.8336446766656131,5.873568222944826
-0.09999999999999998,0.8613705638880109,5.5268420011196895
-0.07999999999999996,0.8890964511104088,5.193901719828247
-0.05999999999999994,0.9168223383328067,4.87474737907057
