degree,constraint_order,regularization,feasible,eval_point,estimate,truth,abs_error,log10_abs_error,strain_energy,elapsed_ms,schur_condition_number,log10_schur_condition_number,constraint_count,status
8,3,1e-14,1,1.5,1.3353709776470117,1.329340388179137,0.006030589467874714,-2.2196402351014437,1.776728759532097,0.5605829999999479,119629965139164.83,14.077839976179192,5.0,ok
8,4,1e-14,1,1.5,1.3312727106850615,1.329340388179137,0.0019323225059244553,-2.713920387830228,1.8285037457936508,0.6919579999999925,231739307932963.25,14.3649997056522,6.0,ok
8,5,1e-14,1,1.5,1.328087666285999,1.329340388179137,0.0012527218931379647,-2.902145332582311,1.873528815289299,0.6562089999999632,1248469781001816.2,15.096378034790698,7.0,ok
8,6,1e-14,1,1.5,1.3140827222911813,1.329340388179137,0.01525766588795574,-1.816511899507883,1.920272324909299,0.6792499999999091,1.547669064162004e+16,16.18967810171295,8.0,ok
8,7,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
8,8,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
10,1,1e-14,1,1.5,1.3392857031576386,1.329340388179137,0.009945314978501596,-2.002381457762377,1.7142857679355157,0.7209999999999717,6396365963782.1045,12.805933303652113,3.0,ok
10,2,1e-14,1,1.5,1.3373272974141002,1.329340388179137,0.007986909234963147,-2.0976212509598704,1.741604169833936,0.80595799999994,64256861388942.26,13.807919508723243,4.0,ok
10,3,1e-14,1,1.5,1.3366431764121736,1.329340388179137,0.007302788233036539,-2.136511292889583,1.7504749588422008,0.9242920000001043,115489522209357.8,14.062542584634468,5.0,ok
10,4,1e-14,1,1.5,1.3342997896929738,1.329340388179137,0.004959401513836781,-2.3045707297438147,1.7782720648030164,1.2682079999999374,198278551478620.38,14.297275737512011,6.0,ok
10,5,1e-14,1,1.5,1.3339116286806372,1.329340388179137,0.004571240501500151,-2.3399659290657904,1.798509148928178,0.750291000000125,854342610780582.6,14.93163206756556,7.0,ok
10,6,1e-14,1,1.5,1.3315166717267102,1.329340388179137,0.0021762835475731546,-2.6622845211411916,1.8265335301747279,0.7239160000001021,4235718189415053.5,15.62692705793845,8.0,ok
10,7,1e-14,1,1.5,1.3277398984140263,1.329340388179137,0.0016004897651107353,-2.795747098758301,1.8772730673009537,0.9178340000000063,2.9491160406483548e+16,16.469691861335036,9.0,ok
10,8,1e-14,1,1.5,1.3256820667546305,1.329340388179137,0.0036583214245065054,-2.4367181395493382,1.8781496018284625,0.881875000000143,4.718756992059365e+18,18.67382761249338,10.0,ok
12,1,1e-14,1,1.5,1.3392857144818182,1.329340388179137,0.00994532630268119,-2.0023809632555745,1.7142857018113116,0.7545419999999137,4407627295907.528,12.644204863934917,3.0,ok
12,2,1e-14,1,1.5,1.3379386414364842,1.329340388179137,0.0085982532573472,-2.06558976709892,1.7321290193676178,0.7662500000000794,65701983066516.52,13.817578477959295,4.0,ok
12,3,1e-14,1,1.5,1.3376609780383286,1.329340388179137,0.008320589859191596,-2.0798458848256747,1.737969431088244,0.9902090000000197,113276260680356.42,14.054138904252023,5.0,ok
12,4,1e-14,1,1.5,1.336335373878018,1.329340388179137,0.006994985698880907,-2.1552131690782947,1.7555374690818233,0.96324999999986,186784036483298.94,14.271339756457962,6.0,ok
12,5,1e-14,1,1.5,1.3354578172880875,1.329340388179137,0.006117429108950523,-2.2134310547134013,1.767456231347076,0.8943329999999694,691016768412628.6,14.839488586217492,7.0,ok
12,6,1e-14,1,1.5,1.333899971168834,1.329340388179137,0.004559582989696942,-2.3410748752204387,1.7838289120728354,0.8715829999998981,2333473156589230.0,15.368002809287074,8.0,ok
12,7,1e-14,1,1.5,1.3334225622893388,1.329340388179137,0.004082174110201731,-2.38910847598269,1.8057205871551436,0.8282909999999255,1.27970134239458e+16,16.10710862551959,9.0,ok
12,8,1e-14,1,1.5,1.331995227399343,1.329340388179137,0.002654839220205929,-2.5759617751066872,1.8216757201470015,1.023500000000066,2.0968022981548326e+17,17.321557483937884,10.0,ok
14,1,1e-14,1,1.5,1.3392857131482017,1.329340388179137,0.00994532496906464,-2.0023810214922104,1.714285825420721,0.9146669999999801,3218890448237.672,12.50770619615269,3.0,ok
14,2,1e-14,1,1.5,1.338373086262091,1.329340388179137,0.009032698082954038,-2.0441825057753698,1.7268595402265732,0.5736670000000554,66618938148634.086,13.823597706111627,4.0,ok
14,3,1e-14,1,1.5,1.3380520386857226,1.329340388179137,0.008711650506585622,-2.0598995558998823,1.7310139631055275,5.820374999999878,111927302809667.8,14.048936038389353,5.0,ok
14,4,1e-14,1,1.5,1.3371023809395428,1.329340388179137,0.007761992760405789,-2.110026766661359,1.7431834840057219,1.1959579999998304,181789504545493.12,14.259568806006111,6.0,ok
14,5,1e-14,1,1.5,1.3367420406838553,1.329340388179137,0.007401652504718248,-2.13067130816632,1.751168473947584,1.268708999999868,602305161313039.5,14.77981658477139,7.0,ok
14,6,1e-14,1,1.5,1.335886254803996,1.329340388179137,0.006545866624859009,-2.184032847894172,1.7620335984953273,1.133124999999957,1670676860827981.0,15.222892457595167,8.0,ok
14,7,1e-14,1,1.5,1.3349494024698227,1.329340388179137,0.005609014290685721,-2.2511134534905644,1.7748166204366966,1.3023750000000778,8164497561163843.0,15.911929463643654,9.0,ok
14,8,1e-14,1,1.5,1.3338183477718275,1.329340388179137,0.004477959592690484,-2.348919829638348,1.785331323160413,1.2615830000000106,6.757649040707112e+16,16.829795632889873,10.0,ok
16,1,1e-14,1,1.5,1.339285713398191,1.329340388179137,0.009945325219054002,-2.002381010575624,1.71428597765797,1.2504999999998212,2452653813462.505,12.389636252848454,3.0,ok
16,2,1e-14,1,1.5,1.3385861122801703,1.329340388179137,0.009245724101033304,-2.034059070360035,1.723625820561814,1.0385000000001643,67233043076915.67,13.827582768574421,4.0,ok
16,3,1e-14,1,1.5,1.338405247996203,1.329340388179137,0.009064859817065951,-2.0426389076352627,1.7267395165555985,1.1669579999999957,111020474144951.28,14.04540307777963,5.0,ok
16,4,1e-14,1,1.5,1.3377373397318781,1.329340388179137,0.008396951552741116,-2.075878352523106,1.735689411868865,1.3678749999999074,179181994096263.0,14.253294365496147,6.0,ok
16,5,1e-14,1,1.5,1.3373051036768515,1.329340388179137,0.007964715497714492,-2.098829732729067,1.7414611373769553,1.54349999999992,546938120763892.4,14.737938194101352,7.0,ok
16,6,1e-14,1,1.5,1.3366616538003953,1.329340388179137,0.007321265621258233,-2.1354138363163466,1.749254071543805,1.721708000000044,1346912475000049.0,15.129339375337302,8.0,ok
16,7,1e-14,1,1.5,1.3362778971944218,1.329340388179137,0.006937509015284782,-2.1587964395037336,1.7578298756505446,1.7613330000001426,6139113366013270.0,15.788105653217308,9.0,ok
16,8,1e-14,1,1.5,1.335683452979195,1.329340388179137,0.006343064800057974,-2.1977008518748278,1.7651252434771252,1.514041000000077,3.605728910806505e+16,16.556993072090634,10.0,ok
18,1,1e-14,1,1.5,1.3392857144055137,1.329340388179137,0.009945326226376672,-2.0023809665876553,1.7142862267286123,1.587665999999821,1930270602376.6956,12.285618196510898,3.0,ok
18,2,1e-14,1,1.5,1.3387592579956968,1.329340388179137,0.009418869816559816,-2.026001205686769,1.7214983739585445,1.5826660000000103,67662348986131.24,13.830347070809436,4.0,ok
18,3,1e-14,1,1.5,1.338573029582278,1.329340388179137,0.009232641403140951,-2.0346740321596735,1.7239221875696014,1.5035409999999416,110365702747057.89,14.042834132977783,5.0,ok
18,4,1e-14,1,1.5,1.3380501921982135,1.329340388179137,0.008709804019076506,-2.0599916170234738,1.7307900650481434,1.5479579999999604,177627118814873.88,14.24950927142318,6.0,ok
18,5,1e-14,1,1.5,1.3378053559414305,1.329340388179137,0.00846496776229344,-2.072374691504807,1.735177865378,1.508958999999921,509292332530528.3,14.706967137859374,7.0,ok
18,6,1e-14,1,1.5,1.337354339883254,1.329340388179137,0.008013951704116895,-2.0961532791604607,1.7410638402220775,1.4692080000000551,1157799202148148.2,15.0636332459539,8.0,ok
