method,family,dof,degree,constraint_order,eval_point,estimate,truth,abs_error,strain_energy,elapsed_ms,empirical_rate
hermite_cubic,hermite_cubic,4,,,1.5,1.339285714285714,1.329340388179137,0.009945326106576946,1.7142857142857153,1.900959003251046,
hermite_quintic,hermite_quintic,6,,,1.5,1.3299395025665248,1.329340388179137,0.0005991143873878002,1.8258064515966907,11.507832969073206,
chebyshev,chebyshev,5,4,2,1.5,1.3069134067591306,1.329340388179137,0.02242698142000643,2.1005595718940424,3.278624964877963,
chebyshev,chebyshev,7,6,4,1.5,1.3081044476576007,1.329340388179137,0.021235940521536323,1.9956728502260992,0.457458954770118,0.16218190344814817
chebyshev,chebyshev,9,8,6,1.5,1.31408255929419,1.329340388179137,0.015257828884946978,1.9203187903708432,0.647874956484884,1.3154927686328248
chebyshev,chebyshev,11,10,6,1.5,1.331516487176194,1.329340388179137,0.002176098997056952,1.8266997259281958,0.6083340267650783,9.705248259662172
chebyshev,chebyshev,13,12,6,1.5,1.3338994032094864,1.329340388179137,0.004559015030349389,1.784306872776065,0.8022090187296271,-4.4271457153500355
chebyshev,chebyshev,17,16,6,1.5,1.3366584684876988,1.329340388179137,0.007318080308561736,1.7518083147460024,12.454292038455606,-1.7640886075665787
chebyshev,chebyshev,21,20,6,1.5,1.3376954478752232,1.329340388179137,0.008355059696086187,1.7449266698598205,11.869291949551553,-0.6271347059668839
chebyshev,chebyshev,25,24,6,1.5,1.338191903427457,1.329340388179137,0.008851515248319952,1.756169601022398,6.439083022996783,-0.33105953852512626
