run_id,sequence_code,sequence,degree,constraint_order,lambda_energy,lambda_residual,z,value,truth,abs_error,status
A_deg12_ord4_le1_lr100,A,variable_base_tetration,12,4,1.0,100.0,2.5,3.464861596390496,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,0.5,1.154500048694992,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,1.5,1.3537784788275886,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,2.5,1.4264418045206653,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,0.5,1.1641906356892398,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,1.5,1.3572247907121486,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,2.5,1.4277321609026106,,,ok
B_deg6_ord4_le1_lr10,B,fixed_base_tetration,6,4,1.0,10.0,0.5,1.184303751173956,,,ok
B_deg6_ord4_le1_lr10,B,fixed_base_tetration,6,4,1.0,10.0,1.5,1.3644057455284564,,,ok
B_deg6_ord4_le1_lr10,B,fixed_base_tetration,6,4,1.0,10.0,2.5,1.4304245808108342,,,ok
B_deg6_ord4_le1_lr100,B,fixed_base_tetration,6,4,1.0,100.0,0.5,1.1915219741587904,,,ok
B_deg6_ord4_le1_lr100,B,fixed_base_tetration,6,4,1.0,100.0,1.5,1.3669921105260907,,,ok
B_deg6_ord4_le1_lr100,B,fixed_base_tetration,6,4,1.0,100.0,2.5,1.4313955530603257,,,ok
B_deg8_ord4_le1_lr0.1,B,fixed_base_tetration,8,4,1.0,0.1,0.5,1.1544920785710602,,,ok
B_deg8_ord4_le1_lr0.1,B,fixed_base_tetration,8,4,1.0,0.1,1.5,1.353775647977264,,,ok
B_deg8_ord4_le1_lr0.1,B,fixed_base_tetration,8,4,1.0,0.1,2.5,1.4264407450828127,,,ok
B_deg8_ord4_le1_lr1,B,fixed_base_tetration,8,4,1.0,1.0,0.5,1.1637826524523525,,,ok
B_deg8_ord4_le1_lr1,B,fixed_base_tetration,8,4,1.0,1.0,1.5,1.3570795208444337,,,ok
B_deg8_ord4_le1_lr1,B,fixed_base_tetration,8,4,1.0,1.0,2.5,1.4276777458957068,,,ok
B_deg8_ord4_le1_lr10,B,fixed_base_tetration,8,4,1.0,10.0,0.5,1.181120255475101,,,ok
B_deg8_ord4_le1_lr10,B,fixed_base_tetration,8,4,1.0,10.0,1.5,1.3632666211879723,,,ok
B_deg8_ord4_le1_lr10,B,fixed_base_tetration,8,4,1.0,10.0,2.5,1.4299971401018847,,,ok
B_deg8_ord4_le1_lr100,B,fixed_base_tetration,8,4,1.0,100.0,0.5,1.1865342309916973,,,ok
B_deg8_ord4_le1_lr100,B,fixed_base_tetration,8,4,1.0,100.0,1.5,1.3652044269811114,,,ok
B_deg8_ord4_le1_lr100,B,fixed_base_tetration,8,4,1.0,100.0,2.5,1.4307243512112624,,,ok
B_deg10_ord4_le1_lr0.1,B,fixed_base_tetration,10,4,1.0,0.1,0.5,1.1544933090778775,,,ok
B_deg10_ord4_le1_lr0.1,B,fixed_base_tetration,10,4,1.0,0.1,1.5,1.3537760850316403,,,ok
B_deg10_ord4_le1_lr0.1,B,fixed_base_tetration,10,4,1.0,0.1,2.5,1.426440908649145,,,ok
B_deg10_ord4_le1_lr1,B,fixed_base_tetration,10,4,1.0,1.0,0.5,1.1637617174406256,,,ok
B_deg10_ord4_le1_lr1,B,fixed_base_tetration,10,4,1.0,1.0,1.5,1.3570720669713485,,,ok
B_deg10_ord4_le1_lr1,B,fixed_base_tetration,10,4,1.0,1.0,2.5,1.4276749538891074,,,ok
B_deg10_ord4_le1_lr10,B,fixed_base_tetration,10,4,1.0,10.0,0.5,1.1806665537894578,,,ok
B_deg10_ord4_le1_lr10,B,fixed_base_tetration,10,4,1.0,10.0,1.5,1.3631043542549892,,,ok
B_deg10_ord4_le1_lr10,B,fixed_base_tetration,10,4,1.0,10.0,2.5,1.4299362620658673,,,ok
B_deg10_ord4_le1_lr100,B,fixed_base_tetration,10,4,1.0,100.0,0.5,1.1857776430705462,,,ok
B_deg10_ord4_le1_lr100,B,fixed_base_tetration,10,4,1.0,100.0,1.5,1.3649334585671054,,,ok
B_deg10_ord4_le1_lr100,B,fixed_base_tetration,10,4,1.0,100.0,2.5,1.4306226411578782,,,ok
B_deg12_ord4_le1_lr0.1,B,fixed_base_tetration,12,4,1.0,0.1,0.5,1.1542705356827514,,,ok
B_deg12_ord4_le1_lr0.1,B,fixed_base_tetration,12,4,1.0,0.1,1.5,1.3536969621399224,,,ok
B_deg12_ord4_le1_lr0.1,B,fixed_base_tetration,12,4,1.0,0.1,2.5,1.4264112974421599,,,ok
B_deg12_ord4_le1_lr1,B,fixed_base_tetration,12,4,1.0,1.0,0.5,1.1636910642917726,,,ok
B_deg12_ord4_le1_lr1,B,fixed_base_tetration,12,4,1.0,1.0,1.5,1.3570469113476449,,,ok
B_deg12_ord4_le1_lr1,B,fixed_base_tetration,12,4,1.0,1.0,2.5,1.427665531355863,,,ok
B_deg12_ord4_le1_lr10,B,fixed_base_tetration,12,4,1.0,10.0,0.5,1.180331605833678,,,ok
B_deg12_ord4_le1_lr10,B,fixed_base_tetration,12,4,1.0,10.0,1.5,1.3629845721238791,,,ok
B_deg12_ord4_le1_lr10,B,fixed_base_tetration,12,4,1.0,10.0,2.5,1.4298913248075091,,,ok
B_deg12_ord4_le1_lr100,B,fixed_base_tetration,12,4,1.0,100.0,0.5,1.1852340357215736,,,ok
B_deg12_ord4_le1_lr100,B,fixed_base_tetration,12,4,1.0,100.0,1.5,1.3647388013498938,,,ok
B_deg12_ord4_le1_lr100,B,fixed_base_tetration,12,4,1.0,100.0,2.5,1.4305495795550025,,,ok
C_deg6_ord4_le1_lr0.1,C,factorial_type,6,4,1.0,0.1,0.5,0.9677488339835422,0.8862269254527578,0.08152190853078434,ok
C_deg6_ord4_le1_lr0.1,C,factorial_type,6,4,1.0,0.1,1.5,1.4516232509753133,1.329340388179137,0.12228286279617628,ok
C_deg6_ord4_le1_lr0.1,C,factorial_type,6,4,1.0,0.1,2.5,3.629058127438283,3.323350970447842,0.30570715699044104,ok
C_deg6_ord4_le1_lr1,C,factorial_type,6,4,1.0,1.0,0.5,0.9211576335323332,0.8862269254527578,0.03493070807957532,ok
C_deg6_ord4_le1_lr1,C,factorial_type,6,4,1.0,1.0,1.5,1.3817364502984997,1.329340388179137,0.05239606211936265,ok
C_deg6_ord4_le1_lr1,C,factorial_type,6,4,1.0,1.0,2.5,3.4543411257462493,3.323350970447842,0.13099015529840718,ok
C_deg6_ord4_le1_lr10,C,factorial_type,6,4,1.0,10.0,0.5,0.888392629440907,0.8862269254527578,0.0021657039881491924,ok
C_deg6_ord4_le1_lr10,C,factorial_type,6,4,1.0,10.0,1.5,1.3325889441613605,1.329340388179137,0.003248555982223511,ok
C_deg6_ord4_le1_lr10,C,factorial_type,6,4,1.0,10.0,2.5,3.331472360403401,3.323350970447842,0.008121389955559,ok
C_deg6_ord4_le1_lr100,C,factorial_type,6,4,1.0,100.0,0.5,0.8740582520864547,0.8862269254527578,0.012168673366303118,ok
C_deg6_ord4_le1_lr100,C,factorial_type,6,4,1.0,100.0,1.5,1.3110873781296821,1.329340388179137,0.0182530100494549,ok
C_deg6_ord4_le1_lr100,C,factorial_type,6,4,1.0,100.0,2.5,3.277718445324205,3.323350970447842,0.04563252512363691,ok
C_deg8_ord4_le1_lr0.1,C,factorial_type,8,4,1.0,0.1,0.5,0.9677419997620481,0.8862269254527578,0.08151507430929028,ok
C_deg8_ord4_le1_lr0.1,C,factorial_type,8,4,1.0,0.1,1.5,1.4516129996430722,1.329340388179137,0.1222726114639352,ok
C_deg8_ord4_le1_lr0.1,C,factorial_type,8,4,1.0,0.1,2.5,3.6290324991076806,3.323350970447842,0.30568152865983844,ok
